rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
25,https://www.afriquesports.net/afrique/senegal/coupe-du-monde-2026-la-decision-officielle-de-la-fifa-tombe-pour-le-senegal,coupe-du-monde-2026-la-decision-officielle-de-la-fifa-tombe-pour-le-senegal,fr,afrique,579,3973,14.57,6.4,861373,Coupe du monde 2026 : la décision officielle de la FIFA tombe pour le Sénégal,true,2025-12-25,
33,https://www.afriquesports.net/afrique/senegal/voici-la-composition-officielle-du-senegal-pour-le-match-des-eliminatoires-de-la-coupe-du-monde-2026-contre-le-soudan,voici-la-composition-officielle-du-senegal-pour-le-match-des-eliminatoires-de-la-coupe-du-monde-2026-contre-le-soudan,fr,afrique,434,57458,0.76,4.3,858134,Voici la composition officielle du Sénégal pour le match des éliminatoires de la Coupe du Monde 2026 contre le Soudan,true,2025-12-31,
44,https://www.afriquesports.net/football/foot/man-utd-2e-chelsea-4e-les-10-clubs-les-plus-decores-dangleterre-ont-ete-reveles,man-utd-2e-chelsea-4e-les-10-clubs-les-plus-decores-dangleterre-ont-ete-reveles,fr,football,323,21819,1.48,15.5,276696,"Man Utd 2é, Chelsea 4é&#8230; les 10 clubs les plus titrés d&rsquo;Angleterre ont été révélés",true,2026-01-02,
58,https://www.afriquesports.net/afrique/senegal/direct-moustapha-diakhate-vs-begai-le-choc-pour-la-ceinture-ares-heavyweight,direct-moustapha-diakhate-vs-begai-le-choc-pour-la-ceinture-ares-heavyweight,fr,afrique,266,12084,2.20,7.1,859217,DIRECT – Moustapha Diakhaté vs Begai : le choc pour la ceinture Ares Heavyweight !,true,2025-12-27,
59,https://www.afriquesports.net/afrique/senegal/senegal-mauritanie-pape-thiaw-surprend-avec-une-nouvelle-composition,senegal-mauritanie-pape-thiaw-surprend-avec-une-nouvelle-composition,fr,afrique,265,78454,0.34,6.7,863399,Sénégal – Mauritanie : Pape Thiaw surprend avec une nouvelle composition,true,2026-01-02,
67,https://www.afriquesports.net/afrique/senegal/cest-fait-pape-thiaw-a-envoye-sa-premiere-liste-a-la-caf-voici-les-joueurs-deja-retenus,cest-fait-pape-thiaw-a-envoye-sa-premiere-liste-a-la-caf-voici-les-joueurs-deja-retenus,fr,afrique,238,4273,5.57,8.8,867712,"C’est fait : Pape Thiaw a envoyé sa première liste à la CAF, voici les joueurs déjà retenus",true,2026-01-02,
79,https://www.afriquesports.net/afrique/senegal/can-2025-senegal-liste-des-joueurs-groupe-matchs-et-calendrier,can-2025-senegal-liste-des-joueurs-groupe-matchs-et-calendrier,fr,afrique,214,9440,2.27,10.4,869440,"CAN 2025 – Sénégal : liste des joueurs, groupe, matchs et calendrier !",true,2026-01-01,
81,https://www.afriquesports.net/afrique/senegal/rdc-senegal-incidents-au-stade-la-caf-prend-une-decision-forte,rdc-senegal-incidents-au-stade-la-caf-prend-une-decision-forte,fr,afrique,203,2005,10.12,7.6,858627,"RDC-Sénégal : Incidents au stade, La CAF prend une décision forte",true,2025-12-31,
90,https://www.afriquesports.net/afrique/senegal/gros-danger-pour-la-rdc-la-caf-va-prendre-une-decision-apres-le-match-contre-le-senegal,gros-danger-pour-la-rdc-la-caf-va-prendre-une-decision-apres-le-match-contre-le-senegal,fr,afrique,181,2453,7.38,8.2,858925,Gros danger pour la RDC : la CAF va prendre une décision après le match contre le Sénégal,true,2025-12-25,
94,https://www.afriquesports.net/afrique/senegal/le-senegal-en-force-pape-thiaw-devoile-son-onze-titulaire-contre-le-soudan-du-sud,le-senegal-en-force-pape-thiaw-devoile-son-onze-titulaire-contre-le-soudan-du-sud,fr,afrique,176,63577,0.28,7.3,862937,Le Sénégal en force ! Pape Thiaw dévoile son onze titulaire contre le Soudan du Sud,true,2025-12-27,
