rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image,is_working
5,https://www.afriquesports.net/classement/la-liste-de-tous-les-ballons-dor-africains-et-des-records,la-liste-de-tous-les-ballons-dor-africains-et-des-records,fr,classement,2210,96441,2.29,11.5,,,,,,False
6,https://www.afriquesports.net/football/hakim-ziyech-une-tragedie-personnelle-assombrit-so-af-1766516422085,hakim-ziyech-une-tragedie-personnelle-assombrit-so-af-1766516422085,fr,football,1968,36582,5.38,5.6,,,,,,False
8,https://www.afriquesports.net/europe/europe-europe/lisandro-martinez-4e-alessandro-bastoni-2e-les-5-meilleurs-defenseurs-centraux-gauchers-du-monde-actuel,lisandro-martinez-4e-alessandro-bastoni-2e-les-5-meilleurs-defenseurs-centraux-gauchers-du-monde-actuel,fr,europe,1384,8553,16.18,10.7,,,,,,False
21,https://www.afriquesports.net/football/ziyech-une-absence-qui-souleve-des-questions-apres-af-1766831418559,ziyech-une-absence-qui-souleve-des-questions-apres-af-1766831418559,fr,football,685,11112,6.16,4.4,,,,,,False
29,https://www.afriquesports.net/afrique/cote-divoire/ballon-dor-africain-2024-serhou-guirassy-simon-adingra-voici-les-resultats-des-votes-des,ballon-dor-africain-2024-serhou-guirassy-simon-adingra-voici-les-resultats-des-votes-des,fr,afrique,500,26048,1.92,7.5,,,,,,False
35,https://www.afriquesports.net/football/zidane-3e-modric-9e-le-classement-des-meilleurs-milieux-de-terrain-au-21e-siecle,zidane-3e-modric-9e-le-classement-des-meilleurs-milieux-de-terrain-au-21e-siecle,fr,football,391,4613,8.48,6.7,,,,,,False
39,https://www.afriquesports.net/afrique/senegal/fin-du-suspense-decouvrez-la-liste-des-lions-pour-la-can-2025,fin-du-suspense-decouvrez-la-liste-des-lions-pour-la-can-2025,fr,afrique,364,5389,6.75,8.6,,,,,,False
45,https://www.afriquesports.net/afrique/senegal/mondial-2026-le-senegal-deja-fixe-sur-son-sort-pour-le-tirage-au-sort,mondial-2026-le-senegal-deja-fixe-sur-son-sort-pour-le-tirage-au-sort,fr,afrique,322,26070,1.24,6.1,,,,,,False
46,https://www.afriquesports.net/afrique/senegal/15-heures-apres-le-match-le-verdict-tombe-pour-le-but-refuse-au-senegal-contre-la-rdcvideo,15-heures-apres-le-match-le-verdict-tombe-pour-le-but-refuse-au-senegal-contre-la-rdcvideo,fr,afrique,318,4603,6.91,8.1,,,,,,False
52,https://www.afriquesports.net/football/foot/voici-les-cinq-championnats-africains-les-plus-riches,voici-les-cinq-championnats-africains-les-plus-riches,fr,football,280,4409,6.35,9.4,,,,,,False
55,https://www.afriquesports.net/football/robben-8e-etoo-6e-les-meilleurs-ailiers-droits-de-lhistoire-devoiles-france-football,robben-8e-etoo-6e-les-meilleurs-ailiers-droits-de-lhistoire-devoiles-france-football,fr,football,273,7499,3.64,15.5,,,,,,False
57,https://www.afriquesports.net/article-du-jour/seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,seydou-keita-limpressionnante-fortune-de-lex-star-du-barca-qui-cree-de-lemploi-au-mali,fr,article-du-jour,270,11292,2.39,10.0,,,,,,False
61,https://www.afriquesports.net/article-du-jour/annonce-ruiner-voici-la-fortune-monstrueuse-du-senegalais-el-hadji-diouf,annonce-ruiner-voici-la-fortune-monstrueuse-du-senegalais-el-hadji-diouf,fr,article-du-jour,251,6493,3.87,9.0,,,,,,False
63,https://www.afriquesports.net/category/football,football,fr,category,244,5918,4.12,7.2,,,,,,False
65,https://www.afriquesports.net/article-du-jour/gros-salaires-immeubles-decouvrez-la-fortune-delirante-de-gervinho,gros-salaires-immeubles-decouvrez-la-fortune-delirante-de-gervinho,fr,article-du-jour,239,5845,4.09,12.5,,,,,,False
66,https://www.afriquesports.net/ballon-dor/dembele-ou-yamal-un-gros-indice-fuite-pour-le-ballon-dor,dembele-ou-yamal-un-gros-indice-fuite-pour-le-ballon-dor,fr,ballon-dor,239,4807,4.97,8.2,,,,,,False
68,https://www.afriquesports.net/europe/zidane-vs-ronaldinho-les-statistiques-de-bein-sports-qui-determinent-enfin-le-meilleur,zidane-vs-ronaldinho-les-statistiques-de-bein-sports-qui-determinent-enfin-le-meilleur,fr,europe,238,3773,6.31,21.5,,,,,,False
70,https://www.afriquesports.net/afrique/senegal/onze-de-depart-le-bresil-prepare-une-armada-face-au-senegal-ancelotti-mise-sur-du-lourd,onze-de-depart-le-bresil-prepare-une-armada-face-au-senegal-ancelotti-mise-sur-du-lourd,fr,afrique,230,106411,0.22,8.8,,,,,,False
72,https://www.afriquesports.net/football/businessman-depuis-sa-retraite-lenorme-fortune-de-ronaldo-nazario-enfin-devoilee,businessman-depuis-sa-retraite-lenorme-fortune-de-ronaldo-nazario-enfin-devoilee,fr,football,226,8258,2.74,15.3,,,,,,False
73,https://www.afriquesports.net/football/van-dijk-11e-thiago-silva-9e-maldini-3e-voici-les-meilleurs-defenseurs-du-21e-siecle-afrique-sports,van-dijk-11e-thiago-silva-9e-maldini-3e-voici-les-meilleurs-defenseurs-du-21e-siecle-afrique-sports,fr,football,225,1507,14.93,6.5,,,,,,False
74,https://www.afriquesports.net/football/can-2025-calendrier-complet,can-2025-calendrier-complet,fr,football,222,11141,1.99,7.8,,,,,,False
83,https://www.afriquesports.net/football/les-10-meilleurs-dribbleurs-de-lhistoire-de-lequipe-du-bresil-de-football,les-10-meilleurs-dribbleurs-de-lhistoire-de-lequipe-du-bresil-de-football,fr,football,195,6820,2.86,10.5,,,,,,False
84,https://www.afriquesports.net/football/maroc-candidature-surprise-pour-la-can-2028-revele-af-1766853022922,maroc-candidature-surprise-pour-la-can-2028-revele-af-1766853022922,fr,football,193,9385,2.06,5.8,,,,,,False
89,https://www.afriquesports.net/football/video-les-images-effrayantes-de-la-grosse-altercation-entre-mbappe-et-vinicius-fuitent,video-les-images-effrayantes-de-la-grosse-altercation-entre-mbappe-et-vinicius-fuitent,fr,football,182,2417,7.53,9.2,,,,,,False
