rank,url,slug,locale,category,clicks,impressions,ctr,position,post_id,title,has_placeholder,date,featured_image
1,https://www.afriquesports.net/classement/top-10-des-milieux-de-terrain-en-2025-pedri-neves-vitinha-le-classement-choc,top-10-des-milieux-de-terrain-en-2025-pedri-neves-vitinha-le-classement-choc,fr,classement,3004,128708,2.33,7.4,851539,"Top 10 des milieux de terrain en 2025 : Pedri, Neves, Vitinha… le classement choc !",true,2026-01-01,
2,https://www.afriquesports.net/can-2025/hakim-ziyech-en-deuil-une-tragedie-personnelle-assombrit-son-retour,hakim-ziyech-en-deuil-une-tragedie-personnelle-assombrit-son-retour,fr,can-2025,2843,32619,8.72,4.4,871203,Hakim Ziyech en deuil : une tragédie personnelle assombrit son retour,true,2026-01-01,
3,https://www.afriquesports.net/autres/usyk-vs-tyson-fury-2-suivez-le-combat-en-direct,usyk-vs-tyson-fury-2-suivez-le-combat-en-direct,fr,autres,2492,10369,24.03,6.0,836746,Usyk vs Tyson Fury 2 : Suivez le combat en direct !,true,2026-01-02,
4,https://www.afriquesports.net/can-2025/en-direct-can-2025-cote-divoire-vs-mozambique-groupe-f-suivez-le-match-en-direct,en-direct-can-2025-cote-divoire-vs-mozambique-groupe-f-suivez-le-match-en-direct,fr,can-2025,2385,107491,2.22,5.3,871365,"EN DIRECT / CAN 2025 : Côte d’Ivoire vs Mozambique, GROUPE F, suivez le match en direct !",true,2026-01-02,
5,https://www.afriquesports.net/classement/la-liste-de-tous-les-ballons-dor-africains-et-des-records,la-liste-de-tous-les-ballons-dor-africains-et-des-records,fr,classement,2210,96441,2.29,11.5,,,,,
6,https://www.afriquesports.net/football/hakim-ziyech-une-tragedie-personnelle-assombrit-so-af-1766516422085,hakim-ziyech-une-tragedie-personnelle-assombrit-so-af-1766516422085,fr,football,1968,36582,5.38,5.6,,,,,
7,https://www.afriquesports.net/classement/ederson-2e-onana-le-classement-des-meilleurs-gardiens-specialistes-du-jeu-au-pied,ederson-2e-onana-le-classement-des-meilleurs-gardiens-specialistes-du-jeu-au-pied,fr,classement,1475,10370,14.22,18.6,626436,"Ederson 2è, Onana : Le classement des meilleurs gardiens spécialistes du jeu au pied",true,2026-01-01,
8,https://www.afriquesports.net/europe/europe-europe/lisandro-martinez-4e-alessandro-bastoni-2e-les-5-meilleurs-defenseurs-centraux-gauchers-du-monde-actuel,lisandro-martinez-4e-alessandro-bastoni-2e-les-5-meilleurs-defenseurs-centraux-gauchers-du-monde-actuel,fr,europe,1384,8553,16.18,10.7,,,,,
9,https://www.afriquesports.net/can-2025/en-direct-can-2025-rdc-vs-benin-groupe-d-suivez-le-match-en-live,en-direct-can-2025-rdc-vs-benin-groupe-d-suivez-le-match-en-live,fr,can-2025,1358,122207,1.11,7.6,871105,"EN DIRECT / CAN 2025 : RDC vs Bénin – Groupe D, suivez le match en live !",true,2026-01-02,
10,https://www.afriquesports.net/football/ballon-dor-2025-le-vainqueur-deja-connu-et-le-classement-aurait-fuite,ballon-dor-2025-le-vainqueur-deja-connu-et-le-classement-aurait-fuite,fr,football,1328,38294,3.47,8.9,860401,Ballon d’Or 2025 : le vainqueur déjà connu et le classement aurait fuité,true,2026-01-02,
11,https://www.afriquesports.net/football/classement-des-favoris-pour-le-ballon-dor-africain-2024-apres-la-can-2023,classement-des-favoris-pour-le-ballon-dor-africain-2024-apres-la-can-2023,fr,football,1326,35610,3.72,8.3,793560,Classement des favoris pour le Ballon d&rsquo;Or Africain 2024 après la CAN 2023,true,2026-01-01,
12,https://www.afriquesports.net/europe/apres-le-clash-avec-xabi-alonso-vinicius-jr-a-tranche-pour-son-mercato,apres-le-clash-avec-xabi-alonso-vinicius-jr-a-tranche-pour-son-mercato,fr,europe,1274,17647,7.22,5.1,865021,"Après le clash avec Xabi Alonso, Vinicius Jr a tranché pour son mercato !",true,2026-01-02,
13,https://www.afriquesports.net/europe/triste-nouvelle-pour-le-football-le-real-madrid-est-en-deuil,triste-nouvelle-pour-le-football-le-real-madrid-est-en-deuil,fr,europe,964,26223,3.68,2.6,871161,Triste nouvelle pour le football : le Real Madrid est en deuil,true,2026-01-02,
14,https://www.afriquesports.net/classement/classement-des-meilleurs-joueurs-ivoiriens-de-tous-les-temp,classement-des-meilleurs-joueurs-ivoiriens-de-tous-les-temp,fr,classement,942,29142,3.23,9.5,644348,"Drogba 2e, Gervinho 10e : Le classement des meilleurs joueurs ivoiriens de tous les temps",true,2026-01-02,
15,https://www.afriquesports.net/football/paul-pogba-quitte-monaco-et-senvole,paul-pogba-quitte-monaco-et-senvole,fr,football,911,19263,4.73,3.5,863564,Paul Pogba quitte Monaco et s’envole !,true,2025-12-25,
16,https://www.afriquesports.net/football/rdc-senegal-la-compo-probable-des-lions-avec-gueye-lamine-camara-et-jackson,rdc-senegal-la-compo-probable-des-lions-avec-gueye-lamine-camara-et-jackson,fr,football,886,208720,0.42,5.0,858468,"RDC – Sénégal : la compo probable des Lions avec Gueye, Lamine Camara et Jackson",true,2026-01-02,
17,https://www.afriquesports.net/can-2025/en-direct-can-2025-mali-vs-zambie-groupe-a-suivez-le-match-en-live,en-direct-can-2025-mali-vs-zambie-groupe-a-suivez-le-match-en-live,fr,can-2025,811,69776,1.16,7.2,870841,"EN DIRECT / CAN 2025 : Mali vs Zambie – Groupe A, suivez le match en live !",true,2026-01-02,
